oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
95.94518,41.20378,185.2383,190.8105,42.04174,33.99742,19.52364
54.78256,81.96307,78.03595,296.584,67.66253,45.43885,13.78987
21.1507,26.94235,43.40022,92.27397,28.02596,21.82817,5.639182
3274.497,986.0053,205.693,2987.924,310.4745,224.6887,50.18073
32.42592,23.24601,81.28686,83.84726,31.88453,18.58489,8.733831
64.63256,63.16271,202.8979,284.0173,35.06771,27.29561,11.02571
1058.917,430.6833,230.7372,1440.45,156.3013,117.261,30.8716
3925.098,741.1864,26.69773,2033.389,60.69359,44.46144,15.30223
43.73142,24.6718,98.36877,114.343,37.02309,27.20325,9.16056
30.64729,75.8391,133.126,324.0491,68.91113,50.0235,12.51775
11.40748,33.54125,57.54277,163.9153,30.60533,22.00481,5.865485
88.38535,74.64177,48.193,251.6727,55.28225,40.08131,11.62337
20.39842,53.88251,144.3299,288.1093,50.33448,35.7022,11.46657
22.19672,55.82346,61.25591,189.8208,45.49635,31.14616,7.043183
2082.449,781.5953,320.8546,2816.121,341.497,244.3097,67.67595
14.92624,9.003782,18.08471,28.74841,14.95493,12.03024,5.999479
36.41525,70.69804,58.53956,194.9422,50.583,35.84513,5.308094
131.3989,81.50345,38.60621,243.924,48.6783,35.31606,8.696973
42.18002,59.21036,92.36745,234.9044,63.21735,44.89,15.13522
423.7756,259.7527,146.0108,829.3786,138.8889,97.88964,23.35273
50.68936,147.9064,198.377,585.9261,108.9999,78.61619,16.44593
93.66719,147.0442,226.1344,607.7566,111.629,82.55222,18.12219
85.03702,54.687,150.8927,149.1404,83.96778,51.00285,23.19301
13.2901,56.09193,84.67353,245.9522,45.70488,31.46171,6.360823
104.573,90.95611,60.47409,302.2915,70.23818,49.69865,11.87327
61.35614,76.24983,63.3007,245.9746,52.89365,37.64502,9.043121
19.86204,28.98933,70.82426,119.7098,32.30685,25.48886,6.388607
54.77234,20.45427,90.33938,73.46342,38.92409,22.92121,14.07964
56.73095,29.97531,135.9228,120.3979,63.61636,42.80202,27.27148
15.24055,34.60783,69.15959,146.9042,27.13327,19.41949,5.860838
479.7548,216.5413,106.913,693.7743,91.36895,67.46828,16.83637
47.58849,110.4202,245.1682,446.5376,107.9005,80.35313,17.186
27.50988,163.4442,241.2939,783.5665,72.16029,52.81507,10.15407
155.9962,197.3131,333.5666,822.1893,138.8564,111.8112,24.87516
69.53931,98.04988,82.50022,335.5183,70.35508,53.35015,9.796683
99.13945,285.3455,593.2934,1444.401,206.3866,153.1628,31.91817
42.52705,130.9494,332.5168,712.8685,104.0679,79.65423,19.30509
1468.73,144.5741,422.0166,518.2705,141.8516,130.1223,47.29582
28.74898,14.36718,62.99438,52.49392,25.49451,25.55709,6.810156
32.36124,38.03497,67.63068,157.9994,57.91937,33.8733,14.1549
31.78057,15.13629,152.4276,81.0272,58.60582,35.62311,15.33873
142.4772,79.67128,408.1441,370.127,211.5061,125.3095,80.09422
25.6944,58.37949,108.6447,137.5482,14.8272,8.031708,17.38254
52.04337,203.9345,407.3645,919.088,146.8231,117.1182,23.09793
15.93126,24.0268,73.92597,78.99986,7.030926,12.74464,9.406867
395.5913,276.9193,159.9285,928.5831,206.1563,149.5045,38.04735
33.54337,29.95081,117.3173,80.5045,24.0464,17.0343,15.44081
27.83782,38.89926,51.01305,91.03542,28.64565,17.40154,10.28539
39.26282,154.2883,262.6629,584.384,88.20082,72.9983,11.94548
399.055,116.7117,351.9742,464.8661,107.642,80.61012,30.37893
2228.413,751.3962,325.1025,2463.841,293.3903,214.1118,55.40376
36.80808,180.2327,275.0951,691.7596,96.44932,78.50533,22.90404
213.8977,280.0818,281.9526,990.542,216.5495,146.1423,25.33926
18.4721,18.06454,66.43848,97.5246,27.48058,23.15768,12.29614
199.3115,100.7766,185.4841,217.3648,114.0828,68.36809,25.41862
23.6411,26.04344,88.25011,133.8622,28.86864,18.10589,10.99438
23.67134,105.6852,174.4616,533.7833,48.83022,37.08352,13.95155
148.0143,299.6939,730.4859,1462.427,274.6646,200.1761,71.46364
319.4255,244.5362,170.0246,802.6732,133.7313,93.07418,14.76743
130.8924,245.0707,716.7534,1387.218,204.0547,137.2317,43.87755
36.91171,19.28892,46.82366,60.93447,35.55084,19.7768,10.35007
38.52574,237.0673,417.7052,980.8802,146.9647,122.0921,15.70925
137.7446,57.63299,226.7022,142.369,45.80576,25.96863,32.81341
33.58307,240.259,483.5193,1113.947,128.7386,106.1852,16.60133
105.5842,22.78348,98.31877,93.04767,38.93004,24.76867,21.95789
42.56772,26.47834,98.27502,95.01145,58.07544,33.59089,16.31539
36.09872,13.38968,121.2563,70.77573,46.00943,21.63358,8.518488
56.96335,21.03291,50.40303,70.63193,30.36596,25.92512,12.00634
199.5712,70.81599,257.4608,271.3265,65.76205,58.64566,33.25352
219.4893,231.0201,1064.501,980.4213,337.851,237.7898,100.792
19.16971,46.52378,88.66972,211.0143,37.15532,23.9291,7.801605
34.41193,43.40898,129.8868,272.881,42.88837,33.00985,13.57062
75.1974,38.70938,133.2057,161.1955,60.59832,32.93034,19.04264
24.10302,13.5481,22.42217,39.71193,25.30324,13.25752,6.832913
973.1407,601.0797,4764.703,2439.54,935.4951,936.8959,773.7681
51.16706,30.6488,94.79958,135.7719,84.53161,45.72954,20.10951
127.3856,47.2183,238.2025,129.8023,71.60426,25.86314,6.328824
259.8264,310.3619,322.2947,1074.656,185.4501,129.2297,25.75531
26.68971,94.10944,210.7182,580.4157,123.1284,88.34793,14.80923
28.28982,11.98777,47.96422,45.07302,28.43635,11.56536,7.886063
43.36108,21.53619,36.36409,74.56731,54.78274,28.21887,5.103823
729.5428,96.3536,182.5237,300.803,70.76647,51.13687,7.962739
109.9526,196.0458,423.4017,909.4117,166.8999,125.1838,38.55883
52.20104,33.55147,139.8476,81.86061,48.78056,19.05459,17.08536
60.24223,21.55329,57.88405,64.033,35.51559,25.69632,13.23157
43.12771,173.6126,519.6843,773.9188,90.10645,86.78754,11.87396
118.2513,260.9173,297.7008,930.4078,182.9271,127.5553,22.18115
17.92672,56.8945,111.4561,250.6405,49.90294,26.73424,12.45685
75.98772,51.64045,231.2394,229.9609,184.086,111.2183,45.82834
36.20545,50.42271,125.7641,182.3367,43.59335,31.80552,17.97939
542.2209,167.9802,227.2765,566.7134,157.4363,117.1538,60.81515
49.84484,150.9086,499.4435,920.4968,115.1916,102.7171,26.45618
29.3088,136.6974,210.9353,597.2369,84.3275,60.52356,10.204
29.38474,85.07448,202.5922,466.1538,47.78552,39.97732,9.768684
177.3075,279.6085,246.795,891.7891,204.9931,135.6965,26.66104
28.67166,15.46635,107.156,59.73225,15.73041,12.05633,14.79151
152.2983,300.823,404.3559,1053.73,196.382,146.5732,32.10081
29.37268,13.95193,37.81575,43.7628,30.21721,16.31933,5.868126
21.4359,97.86417,185.2982,516.5374,60.70132,44.09723,11.50158
26.5211,15.66821,84.66969,89.22731,33.59351,21.23917,9.58897
52.07534,28.96547,52.36082,76.01245,45.70939,30.1095,15.60309
60.21115,196.8674,247.2065,784.6683,148.2334,107.5308,19.73989
62.88004,136.8268,160.2408,485.408,105.8867,76.28687,14.35656
303.1532,168.4262,324.9481,680.1329,113.0883,85.67989,27.83368
53.39187,44.32061,168.3377,105.4385,75.14126,41.67068,18.63075
57.02931,20.72587,114.8922,97.6904,38.28679,30.53943,16.79419
